email_content,original_label,type,method,prediction,llm_detection
Added: No

Submission-ID: 2352956
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352958
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352959
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352960
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-20551
Added: No
Virus name alias: Trojan.PWS.LDPinch.TDU (Bitdefender)

Submission-ID: 2352961
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352963
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352967
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352968
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352969
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352972
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352982
Sender: Virus Total
Submission notes: Already detected as Trojan.IRCBot-1481
Added: No
Virus name alias: Backdoor.IRCBot.ABIB (Bitdefender)

Submission-ID: 2352983
Sender: Virus Total
Submission notes: Already detected as Trojan.Downloader-20863
Added: No

Submission-ID: 2352984
Sender: Virus Total
Submission notes: Same as in Submission-ID 2352752
Added: No

Submission-ID: 2352989
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352990
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352991
Sender: Virus Total
Submission notes: Same as in Submission-ID 2352911
Added: No

Submission-ID: 2352992
Sender: Virus Total
Added: Trojan.Downloader-21253
Virus name alias: Trojan.Agent.AGLO (Bitdefender)

Submission-ID: 2352996
Sender: Virus Total
Submission notes: Same as in Submission-ID 2354695
Added: No

Submission-ID: 2353008
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353009
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353011
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353012
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353013
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353016
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353017
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353018
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353020
Sender: Virus Total
Submission notes: Already detected as Trojan.Agent-11787
Added: No
Virus name alias: Trojan.Agent.AGQU (Bitdefender)

Submission-ID: 2353021
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353032
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-20515
Added: No
Virus name alias: Trojan.Peed.Gen (Bitdefender)

Submission-ID: 2353037
Sender: Virus Total
Submission notes: Already detected as Trojan.Hupigon-7083
Added: No
Virus name alias: GenPack:Generic.Graybird.97BAE72D (Bitdefender)

Submission-ID: 2353038
Sender: Virus Total
Submission notes: Same as in Submission-ID 2297728
Added: No

Submission-ID: 2353041
Sender: Virus Total
Submission notes: Same as in Submission-ID 2347384
Added: No

Submission-ID: 2353043
Sender: Virus Total
Submission notes: Same as in Submission-ID 2355717
Added: No

Submission-ID: 2353045
Sender: Virus Total
Submission notes: Same as in Submission-ID 1982485
Added: No

Submission-ID: 2353048
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353051
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353059
Sender: Jotti
Submission notes: Same as in Submission-ID 2353585
Added: No

Submission-ID: 2353060
Sender: Virus Total
Submission notes: Already detected as Trojan.DNSChanger-2361
Added: No
Virus name alias: Trojan.Peed.Gen (Bitdefender)

Submission-ID: 2353061
Sender: Virus Total
Submission notes: Same as in Submission-ID 2054027
Added: No

Submission-ID: 2353081
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353082
Sender: VirScan.org
Submission notes: Same as in Submission-ID 2520262
Added: No

Submission-ID: 2353083
Sender: Virus Total
Submission notes: Same as in Submission-ID 2356661
Added: No

Submission-ID: 2353085
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353086
Sender: Virus Total
Submission notes: Same as in Submission-ID 2352396
Added: No

Submission-ID: 2353091
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353092
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353099
Sender: Virus Total
Submission notes: Same as in Submission-ID 2345545
Added: No

Submission-ID: 2353100
Sender: Virus Total
Submission notes: Same as in Submission-ID 2364487
Added: No

Submission-ID: 2353103
Sender: Virus Total
Submission notes: Same as in Submission-ID 2336618
Added: No

Submission-ID: 2353109
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353110
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353111
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353113
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353115
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353116
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353120
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353121
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353123
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353122
Sender: Virus Total
Submission notes: Same as in Submission-ID 2306652
Added: No

Submission-ID: 2353125
Sender: Virus Total
Submission notes: Same as in Submission-ID 2357675
Added: No

Submission-ID: 2353126
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353130
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-21012
Added: No
Virus name alias: Generic.LdPinch1.ECBDA575 (Bitdefender)

Submission-ID: 2353134
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353135
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-22094
Added: No
Virus name alias: Trojan.PWS.Onlinegames.NYS (Bitdefender)

Submission-ID: 2353146
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353152
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353151
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353160
Sender: Virus Total
Submission notes: Already detected as Trojan.Downloader-21859
Added: No
Virus name alias: Trojan.Agent.AGQU (Bitdefender)

Submission-ID: 2353170
Sender: Jotti
Added: Trojan.SdBot-7942
Virus name alias: Dropped:Win32.Worm.Stration.QQS (Bitdefender)

Submission-ID: 2353175
Sender: Virus Total
Submission notes: Same as in Submission-ID 2482442
Added: No

Submission-ID: 2353177
Sender: VirScan.org
Submission notes: Same as in Submission-ID 2364487
Added: No

Submission-ID: 2353182
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353183
Sender: Virus Total
Submission notes: Same as in Submission-ID 2520262
Added: No

Submission-ID: 2353185
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353187
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353189
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353191
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353192
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353196
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-20744
Added: No

Submission-ID: 2353203
Sender: Virus Total
Submission notes: Same as in Submission-ID 2343945
Added: No

Submission-ID: 2353204
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353205
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353209
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353212
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353216
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353217
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353222
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353227
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353239
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353240
Sender: VirScan.org
Submission notes: Same as in Submission-ID 2303156
Added: No

Submission-ID: 2353253
Sender: Virus Total
Submission notes: Same as in Submission-ID 2355404
Added: No

Submission-ID: 2353259
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353260
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353264
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353265
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353266
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353270
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353278
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353280
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353282
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353291
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353293
Sender: VirScan.org
Submission notes: Same as in Submission-ID 2312621
Added: No

Submission-ID: 2353294
Sender: Virus Total
Submission notes: Same as in Submission-ID 2364487
Added: No

-- 
Best regards,
  Christoph 

_______________________________________________
http://lists.clamav.net/cgi-bin/mailman/listinfo/clamav-virusdb",legit,Human-written,ai,legit,Human-written
"[clamav-virusdb] Update (daily: 5734) ClamAV database updated (08 Feb 2008 07-58 +0000): daily.cvd
Version: 5734

Submission-ID: 2352903
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352906
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352907
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352908
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352909
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-20514
Added: No

Submission-ID: 2352910
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352911
Sender: Virus Total
Added: Trojan.Downloader-21717
Virus name alias: Trojan.Agent.AGLT (Bitdefender)

Submission-ID: 2352913
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352916
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352918
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352919
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352928
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352929
Sender: Virus Total
Submission notes: Same as in Submission-ID 2353598
Added: No

Submission-ID: 2352930
Sender: Virus Total
Submission notes: Same as in Submission-ID 2350793
Added: No

Submission-ID: 2352935
Sender: Virus Total
Submission notes: Already detected as Trojan.Dropper-4033
Added: No
Virus name alias: MemScan:Backdoor.Hupigon.ZGQ (Bitdefender)

Submission-ID: 2352948
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-20445
Added: No
Virus name alias: Packer.Malware.NSAnti.K (Bitdefender)

Submission-ID: 2352949
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352951
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352953
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352955
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352956
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352958
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352959
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352960
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-20551
Added: No
Virus name alias: Trojan.PWS.LDPinch.TDU (Bitdefender)

Submission-ID: 2352961
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352963
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352967
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352968
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352969
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352972
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352982
Sender: Virus Total
Submission notes: Already detected as Trojan.IRCBot-1481
Added: No
Virus name alias: Backdoor.IRCBot.ABIB (Bitdefender)

Submission-ID: 2352983
Sender: Virus Total
Submission notes: Already detected as Trojan.Downloader-20863
Added: No

Submission-ID: 2352984
Sender: Virus Total
Submission notes: Same as in Submission-ID 2352752
Added: No

Submission-ID: 2352989
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352990
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2352991
Sender: Virus Total
Submission notes: Same as in Submission-ID 2352911
Added: No

Submission-ID: 2352992
Sender: Virus Total
Added: Trojan.Downloader-21253
Virus name alias: Trojan.Agent.AGLO (Bitdefender)

Submission-ID: 2352996
Sender: Virus Total
Submission notes: Same as in Submission-ID 2354695
Added: No

Submission-ID: 2353008
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353009
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353011
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353012
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353013
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353016
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353017
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353018
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353020
Sender: Virus Total
Submission notes: Already detected as Trojan.Agent-11787
Added: No
Virus name alias: Trojan.Agent.AGQU (Bitdefender)

Submission-ID: 2353021
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353032
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-20515
Added: No
Virus name alias: Trojan.Peed.Gen (Bitdefender)

Submission-ID: 2353037
Sender: Virus Total
Submission notes: Already detected as Trojan.Hupigon-7083
Added: No
Virus name alias: GenPack:Generic.Graybird.97BAE72D (Bitdefender)

Submission-ID: 2353038
Sender: Virus Total
Submission notes: Same as in Submission-ID 2297728
Added: No

Submission-ID: 2353041
Sender: Virus Total
Submission notes: Same as in Submission-ID 2347384
Added: No

Submission-ID: 2353043
Sender: Virus Total
Submission notes: Same as in Submission-ID 2355717
Added: No

Submission-ID: 2353045
Sender: Virus Total
Submission notes: Same as in Submission-ID 1982485
Added: No

Submission-ID: 2353048
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353051
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353059
Sender: Jotti
Submission notes: Same as in Submission-ID 2353585
Added: No

Submission-ID: 2353060
Sender: Virus Total
Submission notes: Already detected as Trojan.DNSChanger-2361
Added: No
Virus name alias: Trojan.Peed.Gen (Bitdefender)

Submission-ID: 2353061
Sender: Virus Total
Submission notes: Same as in Submission-ID 2054027
Added: No

Submission-ID: 2353081
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353082
Sender: VirScan.org
Submission notes: Same as in Submission-ID 2520262
Added: No

Submission-ID: 2353083
Sender: Virus Total
Submission notes: Same as in Submission-ID 2356661
Added: No

Submission-ID: 2353085
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353086
Sender: Virus Total
Submission notes: Same as in Submission-ID 2352396
Added: No

Submission-ID: 2353091
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353092
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353099
Sender: Virus Total
Submission notes: Same as in Submission-ID 2345545
Added: No

Submission-ID: 2353100
Sender: Virus Total
Submission notes: Same as in Submission-ID 2364487
Added: No

Submission-ID: 2353103
Sender: Virus Total
Submission notes: Same as in Submission-ID 2336618
Added: No

Submission-ID: 2353109
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353110
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353111
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353113
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353115
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353116
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353120
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353121
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353123
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353122
Sender: Virus Total
Submission notes: Same as in Submission-ID 2306652
Added: No

Submission-ID: 2353125
Sender: Virus Total
Submission notes: Same as in Submission-ID 2357675
Added: No

Submission-ID: 2353126
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353130
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-21012
Added: No
Virus name alias: Generic.LdPinch1.ECBDA575 (Bitdefender)

Submission-ID: 2353134
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353135
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-22094
Added: No
Virus name alias: Trojan.PWS.Onlinegames.NYS (Bitdefender)

Submission-ID: 2353146
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353152
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353151
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353160
Sender: Virus Total
Submission notes: Already detected as Trojan.Downloader-21859
Added: No
Virus name alias: Trojan.Agent.AGQU (Bitdefender)

Submission-ID: 2353170
Sender: Jotti
Added: Trojan.SdBot-7942
Virus name alias: Dropped:Win32.Worm.Stration.QQS (Bitdefender)

Submission-ID: 2353175
Sender: Virus Total
Submission notes: Same as in Submission-ID 2482442
Added: No

Submission-ID: 2353177
Sender: VirScan.org
Submission notes: Same as in Submission-ID 2364487
Added: No

Submission-ID: 2353182
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353183
Sender: Virus Total
Submission notes: Same as in Submission-ID 2520262
Added: No

Submission-ID: 2353185
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353187
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353189
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353191
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353192
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353196
Sender: Virus Total
Submission notes: Already detected as Trojan.Spy-20744
Added: No

Submission-ID: 2353203
Sender: Virus Total
Submission notes: Same as in Submission-ID 2343945
Added: No

Submission-ID: 2353204
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353205
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353209
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353212
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353216
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353217
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353222
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353227
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353239
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353240
Sender: VirScan.org
Submission notes: Same as in Submission-ID 2303156
Added: No

Submission-ID: 2353253
Sender: Virus Total
Submission notes: Same as in Submission-ID 2355404
Added: No

Submission-ID: 2353259
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353260
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353264
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353265
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353266
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353270
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353278
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353280
Sender: Virus Total
Submission notes: Same as in Submission-ID 2304358
Added: No

Submission-ID: 2353282
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353291
Sender: Virus Total
Submission notes: Same as in Submission-ID 2322594
Added: No

Submission-ID: 2353293
Sender: VirScan.org
Submission notes: Same as in Submission-ID 2312621
Added: No

Submission-ID: 2353294
Sender: Virus Total
Submission notes: Same as in Submission-ID 2364487
Added: No

-- 
Best regards,
  Christoph 

_______________________________________________
http://lists.clamav.net/cgi-bin/mailman/listinfo/clamav-virusdb",legit,Human-written,deterministic,legit,Human-written
"[UAI] 2nd CFP: FLAIRS 2005--Special Track on Uncertain Reasoning *******************************************************************************
                              Call for Papers 
 
                     Special Track on Uncertain Reasoning

             The 18th International FLAIRS Conference FLAIRS-2005
     In cooperation with The American Association for Artificial Intelligence

                              Adam's Mark Hotel
                             Clearwater Beach, FL
                                May 16-18, 2005

 
http://janus.newcs.uwindsor.ca/~danwu/flairs-2005/index-flairs-2005.htm
                http://ranger.uta.edu/flairs05/
******************************************************************************


The capability of reasoning with uncertain and/or incomplete
information is a crucial feature both of human and machine
intelligence. The Special Track on Uncertain Reasoning at the
Eighteenth International Florida Artificial Intelligence Research
Symposium (FLAIRS) Conference seeks to bring together researchers
working on broad issues related to reasoning under uncertainty. This
track was started in 1996 and has become an annual event at FLAIRS. In
2003 the track was merged with the Special Track on Imprecise and
Indeterminate Probabilities.

Papers on all aspects of uncertain reasoning and imprecise
probabilities are solicited.  Topics of interest include, but are not
limited to:

* Uncertain reasoning and databases 
* Uncertain reasoning formalisms, calculi and methodologies 
* Reasoning with probability, possibility, fuzzy logic, belief functions, 
  argumentation, rough sets, and probability logics 
* Modelling and reasoning using imprecise and indeterminate information, 
* using for instance: Choquet capacities, comparative orderings, convex 
sets of measures, 
  and interval-valued probabilities 
* Exact, approximate and qualitative uncertain reasoning 
* Nonmonotonic reasoning and belief revision 
* Multi-agent uncertain reasoning and decision making 
* Decision-theoretic planning and Markov decision process 
* Temporal reasoning and uncertainty 
* Construction of models from elicitation, data mining and knowledge 
discovery 
* Uncertain reasoning in information retrieval, filtering, fusion, 
diagnosis, 
  prediction, and situation assessment 
* Practical applications of uncertain reasoning 


Paper Submission and Publication
---------------------------------
Paper format and submission details are available at 
http://earth.cs.ccsu.edu/~flairs/submission.html

Papers will be refereed and all accepted papers will appear in the 
conference proceedings which will be published by AAAI Press. 
Selected authors will be invited to submit extended versions of their 
papers to a special issue of the International Journal on Artificial 
Intelligence Tools (IJAIT) to be published in 2006. 

In addition, we will be arranging a special issue of the International 
Journal of
Approximate Reasoning, devoted to extended and revised papers selected 
from the special 
track on uncertain reasoning.


Invited Speakers of FLAIRS-2005
--------------------------------
Lawrence Hunter, University of Colorado 
Martha Pollack, University of Michigan
Ted Senator, DARPA 
David Stork, Ricoh and Stanford University


Important Dates
----------------
Paper submissions due       October 22, 2004
Notification letters sent   January 7, 2005
Camera ready copy due       February 4, 2005
Conference:                 May 16-18, 2005


Program Committee
---------------------
Program Co-Chairs:
Gabriele Kern-Isberner, University of Dortmund
Dan Wu, University of Windsor

Committee:
Horacio Arlo-Costa, Carnegie Mellon University
Salem Benferhat, CRIL, France
Cory Butz, University of Regina
Mats Danielson, Royal Institute of Technology, Sweden
Jim Delgrande, Simon Fraser University
Marek Druzdzel, University of Pittsburgh
Love Ekenberg, Stockholm University
Faiza Khellaf, USTHB, Algeria
Henry Kyburg, IHMC and The University of Rochester
Eric Neufeld, University of Saskatchewan
Laurent Perrussel, UT1/IRIT, France
Lin Tao, University of Regina
Eugene Santos, University of Connecticut
Choh Man Teng, University of West Florida
Michael Wong, University of Regina
Yang Xiang, University of Guelph


Contact
-------
For Further Information, please contact:

Gabriele Kern-Isberner
Department of Computer Science
University of Dortmund 
44221 Dortmund, Germany
cbzllrja.iadf-sizpcbzl@cs.uni-dortmund.de

Dan Wu 
School of Computer Science
University of Windsor
Windsor Ontario Canada N9B 3P4 
edaxa@uwindsor.ca",legit,Human-written,ai,legit,Human-written
