URL,original_label,method,prediction
http://wikiwiki.jp/sample/?%A5%C7%A5%B6%A5%A4%A5%F3%A5%C6%A5%F3%A5%D7%A5%EC%A1%BC%A5%C8%2Fdefault_silver_z,benign,ai,benign
http://wikiwiki.jp/sample/?%A5%C7%A5%B6%A5%A4%A5%F3%A5%C6%A5%F3%A5%D7%A5%EC%A1%BC%A5%C8%2Fdefault_silver_z,benign,deterministic,benign
jamescampbell.remax.com/,benign,ai,benign
jamescampbell.remax.com/,benign,deterministic,defacement
slovenia.info/?drugi_sporti=0,benign,ai,benign
slovenia.info/?drugi_sporti=0,benign,deterministic,defacement
whosdatedwho.com/tpx_653717/the-hole/,benign,ai,benign
whosdatedwho.com/tpx_653717/the-hole/,benign,deterministic,defacement
funnyshortstories.net/,benign,ai,benign
funnyshortstories.net/,benign,deterministic,defacement
mail.webcamplaza.net/intl/update/webscr2.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5dccd81740795dd0e7ff0baa3d1fe942edccd81740795dd0e7ff0baa3d1fe942e,benign,ai,benign
mail.webcamplaza.net/intl/update/webscr2.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5dccd81740795dd0e7ff0baa3d1fe942edccd81740795dd0e7ff0baa3d1fe942e,benign,deterministic,defacement
tvguide.com/celebrities/evalyn-knapp/149860,benign,ai,benign
tvguide.com/celebrities/evalyn-knapp/149860,benign,deterministic,defacement
betfirms.com/baylor-basketball-preview/,benign,ai,benign
betfirms.com/baylor-basketball-preview/,benign,deterministic,defacement
music.yahoo.com/julie-crochetiere/,benign,ai,benign
music.yahoo.com/julie-crochetiere/,benign,deterministic,defacement
www.paypal.ca.2316.secure9j.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=6d495874fc6a0ef02a3e53218b7ba5ee,benign,ai,benign
www.paypal.ca.2316.secure9j.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=6d495874fc6a0ef02a3e53218b7ba5ee,benign,deterministic,defacement
myspace.com/catarinadossantos,benign,ai,benign
myspace.com/catarinadossantos,benign,deterministic,defacement
bigalsgunshop.com/img/main-css.php,benign,ai,benign
bigalsgunshop.com/img/main-css.php,benign,deterministic,defacement
epguides.com/BrotherlyLove/guide.shtml,benign,ai,benign
epguides.com/BrotherlyLove/guide.shtml,benign,deterministic,defacement
jdcc.cn/images/?ref=us.battle.net/d3/en/index,benign,ai,benign
jdcc.cn/images/?ref=us.battle.net/d3/en/index,benign,deterministic,defacement
lindahall.org/employment/,benign,ai,benign
lindahall.org/employment/,benign,deterministic,defacement
ebay.com/sch/sis.html?_nkw=Punch+Instant+House+Building+Plans+Home+Design+Software,benign,ai,benign
ebay.com/sch/sis.html?_nkw=Punch+Instant+House+Building+Plans+Home+Design+Software,benign,deterministic,defacement
booking.com/hotel/ae/mount-royal.en.html,benign,ai,benign
booking.com/hotel/ae/mount-royal.en.html,benign,deterministic,defacement
facebook.com/paul.hays,benign,ai,benign
facebook.com/paul.hays,benign,deterministic,defacement
zoominfo.com/people/Nawaz_Sabina_82670030.aspx,benign,ai,benign
zoominfo.com/people/Nawaz_Sabina_82670030.aspx,benign,deterministic,defacement
www.controlyourbreath.com/pp/css_/img/webscr/cmd_/_/login_run/a6222899d62c5cd4fbbd95e93a5ba8cc,benign,ai,phishing
www.controlyourbreath.com/pp/css_/img/webscr/cmd_/_/login_run/a6222899d62c5cd4fbbd95e93a5ba8cc,benign,deterministic,defacement
hotmovies.com/studio/3239/Simply-British-Films/,benign,ai,benign
hotmovies.com/studio/3239/Simply-British-Films/,benign,deterministic,defacement
canadalife.com/003/Home/Products/LifeInsurance/index.htm,benign,ai,benign
canadalife.com/003/Home/Products/LifeInsurance/index.htm,benign,deterministic,defacement
lawyers.com/Alberta/Calgary/Heenan-Blaikie-LLP-2017585-f.html,benign,ai,benign
lawyers.com/Alberta/Calgary/Heenan-Blaikie-LLP-2017585-f.html,benign,deterministic,defacement
www.swissloginnach.com,benign,ai,phishing
www.swissloginnach.com,benign,deterministic,defacement
fluffytails.ca/johnritter.asp,benign,ai,benign
fluffytails.ca/johnritter.asp,benign,deterministic,defacement
ncaasports.cstv.com/sports/w-baskbl/spec-rel/ncaa-w-baskbl-spec-rel.html,benign,ai,benign
ncaasports.cstv.com/sports/w-baskbl/spec-rel/ncaa-w-baskbl-spec-rel.html,benign,deterministic,defacement
isohunt.com/torrents/golden+age+of+grotesque,benign,ai,benign
isohunt.com/torrents/golden+age+of+grotesque,benign,deterministic,defacement
encyclopedia.com/topic/John_Galt.aspx,benign,ai,benign
encyclopedia.com/topic/John_Galt.aspx,benign,deterministic,defacement
corporationwiki.com/Missouri/Kansas-City/russell-stover-candies-inc-3235573.aspx,benign,ai,benign
corporationwiki.com/Missouri/Kansas-City/russell-stover-candies-inc-3235573.aspx,benign,deterministic,defacement
weipooh.com/,benign,ai,benign
weipooh.com/,benign,deterministic,defacement
pioneer-railcorp.com/Subsidiaries/PRS/prs.htm,benign,ai,benign
pioneer-railcorp.com/Subsidiaries/PRS/prs.htm,benign,deterministic,defacement
freefifa13utplayers.yolasite.com/,benign,ai,benign
freefifa13utplayers.yolasite.com/,benign,deterministic,defacement
http://emgn.com/tv/an-amazing-medley-of-popular-songs-using-a-unique-pvc-instrument/,benign,ai,benign
http://emgn.com/tv/an-amazing-medley-of-popular-songs-using-a-unique-pvc-instrument/,benign,deterministic,benign
local.yahoo.com/CA/National+City/Home+Garden/Construction%2C+Repair%2C+Improvement/Garage+Construction,benign,ai,benign
local.yahoo.com/CA/National+City/Home+Garden/Construction%2C+Repair%2C+Improvement/Garage+Construction,benign,deterministic,defacement
nudevista.com/?q=lara+roxx&s=t,benign,ai,benign
nudevista.com/?q=lara+roxx&s=t,benign,deterministic,defacement
kevinmaclean.blogspot.com/,benign,ai,benign
kevinmaclean.blogspot.com/,benign,deterministic,defacement
mylife.com/c-148806863878,benign,ai,benign
mylife.com/c-148806863878,benign,deterministic,defacement
eteamz.com/piranhas/roster/,benign,ai,benign
eteamz.com/piranhas/roster/,benign,deterministic,defacement
tenant.net/Other_Areas/Minnesota/resource.html,benign,ai,benign
tenant.net/Other_Areas/Minnesota/resource.html,benign,deterministic,defacement
absoluteastronomy.com/topics/Société_de_transport_de_Laval,benign,ai,benign
absoluteastronomy.com/topics/Société_de_transport_de_Laval,benign,deterministic,defacement
zillow.com/homes/browse/Castro-Valley-CA/94546/Lake-Chabot-Rd_2671440/,benign,ai,benign
zillow.com/homes/browse/Castro-Valley-CA/94546/Lake-Chabot-Rd_2671440/,benign,deterministic,defacement
meliksahbardakci.com/components/index.htm,benign,ai,benign
meliksahbardakci.com/components/index.htm,benign,deterministic,defacement
claycountymissourilawyer.com/,benign,ai,benign
claycountymissourilawyer.com/,benign,deterministic,defacement
newpontiaccars.net/2004-pontiac-gto,benign,ai,benign
newpontiaccars.net/2004-pontiac-gto,benign,deterministic,defacement
infoeletro.net/net/Internet_Banking/BRADESCO/Login.php,benign,ai,benign
infoeletro.net/net/Internet_Banking/BRADESCO/Login.php,benign,deterministic,defacement
mahalo.com/henry-rollins/,benign,ai,benign
mahalo.com/henry-rollins/,benign,deterministic,defacement
http://bigcinema.tv/series/klub-horoshih-parney-serial-2015-the-good-guys-club.html,benign,ai,benign
http://bigcinema.tv/series/klub-horoshih-parney-serial-2015-the-good-guys-club.html,benign,deterministic,defacement
www296.paypal.ca.90658.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP296,benign,ai,benign
www296.paypal.ca.90658.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP296,benign,deterministic,defacement
bleacherreport.com/articles/427833-mexico-national-team-is-the-new-generation-changing-the-rules,benign,ai,benign
bleacherreport.com/articles/427833-mexico-national-team-is-the-new-generation-changing-the-rules,benign,deterministic,defacement
hotelplanner.com/Hotels/23723-NEAR-Oakland-Convention-Center,benign,ai,benign
hotelplanner.com/Hotels/23723-NEAR-Oakland-Convention-Center,benign,deterministic,defacement
spoke.com/info/pEwsugD/PaulHosey,benign,ai,benign
spoke.com/info/pEwsugD/PaulHosey,benign,deterministic,defacement
bleacherreport.com/articles/56667-bts-200809-nhl-season-preview-the-nashville-predators,benign,ai,benign
bleacherreport.com/articles/56667-bts-200809-nhl-season-preview-the-nashville-predators,benign,deterministic,defacement
modis.ispras.ru/wikipedia/backup/Category:Royal_Navy_submarines.html,benign,ai,benign
modis.ispras.ru/wikipedia/backup/Category:Royal_Navy_submarines.html,benign,deterministic,defacement
videosurf.com/amanda-stepto-31172,benign,ai,benign
videosurf.com/amanda-stepto-31172,benign,deterministic,defacement
http://sfglobe.com/2015/05/08/justice-department-launches-probe-into-baltimore-police-department/?src=home_feed,benign,ai,benign
http://sfglobe.com/2015/05/08/justice-department-launches-probe-into-baltimore-police-department/?src=home_feed,benign,deterministic,benign
bart.gov/about/bod/bodMembersDetail_07.aspx,benign,ai,benign
bart.gov/about/bod/bodMembersDetail_07.aspx,benign,deterministic,defacement
dancemusicacapellas4u.blogspot.com/,benign,ai,benign
dancemusicacapellas4u.blogspot.com/,benign,deterministic,defacement
debbedunning.org/photo-gallery,benign,ai,benign
debbedunning.org/photo-gallery,benign,deterministic,defacement
myfamhrtgen.tripod.com/gauthier.htm,benign,ai,benign
myfamhrtgen.tripod.com/gauthier.htm,benign,deterministic,defacement
alacrastore.com/company-snapshot/Logibec_Groupe_Informatique_Ltee-2112615,benign,ai,benign
alacrastore.com/company-snapshot/Logibec_Groupe_Informatique_Ltee-2112615,benign,deterministic,defacement
comicsalliance.com/2011/09/08/justin-white-art/,benign,ai,benign
comicsalliance.com/2011/09/08/justin-white-art/,benign,deterministic,defacement
tomconstanten.com/bio.htm,benign,ai,benign
tomconstanten.com/bio.htm,benign,deterministic,defacement
http://motthegioi.vn/kinh-te/tro-chuyen-voi-nguoi-thanh-cong/do-giau-co-it-ai-ngo-den-cua-me-chong-tang-thanh-ha-188153.html,benign,ai,benign
http://motthegioi.vn/kinh-te/tro-chuyen-voi-nguoi-thanh-cong/do-giau-co-it-ai-ngo-den-cua-me-chong-tang-thanh-ha-188153.html,benign,deterministic,defacement
markosweb.com/www/cinf.org/,benign,ai,phishing
markosweb.com/www/cinf.org/,benign,deterministic,defacement
people.famouswhy.com/ed_philion/,benign,ai,benign
people.famouswhy.com/ed_philion/,benign,deterministic,defacement
h20000.www2.hp.com/bizsupport/TechSupport/SoftwareDescription.jsp?lang=en&cc=us&prodTypeId=12169&prodSeriesId=3559651&swItem=co-68651-1&prodNameId=3559652&swEnvOID=4006&swLang=13&taskId=135&mode=4&idx=0,benign,ai,benign
h20000.www2.hp.com/bizsupport/TechSupport/SoftwareDescription.jsp?lang=en&cc=us&prodTypeId=12169&prodSeriesId=3559651&swItem=co-68651-1&prodNameId=3559652&swEnvOID=4006&swLang=13&taskId=135&mode=4&idx=0,benign,deterministic,defacement
facebook.com/pages/BODY-ROCK/102940003600,benign,ai,benign
facebook.com/pages/BODY-ROCK/102940003600,benign,deterministic,defacement
dandeentertainment.com/stark-raving-black/,benign,ai,benign
dandeentertainment.com/stark-raving-black/,benign,deterministic,defacement
123people.com/s/darlene+mackenzie,benign,ai,benign
123people.com/s/darlene+mackenzie,benign,deterministic,defacement
songlyrics.com/prince/i-wanna-be-your-lover-lyrics/,benign,ai,benign
songlyrics.com/prince/i-wanna-be-your-lover-lyrics/,benign,deterministic,defacement
provigoinc-sherbrooke.foodpages.ca/,benign,ai,benign
provigoinc-sherbrooke.foodpages.ca/,benign,deterministic,defacement
amazon.com/Bruno-Walter-Mozart-Symphonies-Jupiter/dp/B000002A83,benign,ai,benign
amazon.com/Bruno-Walter-Mozart-Symphonies-Jupiter/dp/B000002A83,benign,deterministic,defacement
pipl.com/directory/name/Farina/Aimee,benign,ai,benign
pipl.com/directory/name/Farina/Aimee,benign,deterministic,defacement
http://mixi.jp/system/app_beacon.pl?beacon_params=cmFua2luZ19hbGxfdG9wLDQwNzUyIDQwNzk2IDQwODAyIDQwNzk5IDQwNjAwIDQwMzI0IDM5ODI4IDM5MTg5IDQwMzg1IDM5NzMzIDQwNzkxIDI1NjY5IDMyMjkxIDQwNDEzIDM5ODMxIDMyMDAyIDQwNDg4IDQwNzcwIDM1MzU1IDMxOTU5,benign,ai,phishing
http://mixi.jp/system/app_beacon.pl?beacon_params=cmFua2luZ19hbGxfdG9wLDQwNzUyIDQwNzk2IDQwODAyIDQwNzk5IDQwNjAwIDQwMzI0IDM5ODI4IDM5MTg5IDQwMzg1IDM5NzMzIDQwNzkxIDI1NjY5IDMyMjkxIDQwNDEzIDM5ODMxIDMyMDAyIDQwNDg4IDQwNzcwIDM1MzU1IDMxOTU5,benign,deterministic,benign
sing365.com/music/lyric.nsf/Fox-Hunt-lyrics-Grimskunk/45204363DA78A14F48256D0A00339995,benign,ai,benign
sing365.com/music/lyric.nsf/Fox-Hunt-lyrics-Grimskunk/45204363DA78A14F48256D0A00339995,benign,deterministic,defacement
patrickmcmullan.com/site/search.aspx?t=person&s=Garrett+Backstrom,benign,ai,benign
patrickmcmullan.com/site/search.aspx?t=person&s=Garrett+Backstrom,benign,deterministic,defacement
genforum.genealogy.com/grenier/page2.html,benign,ai,benign
genforum.genealogy.com/grenier/page2.html,benign,deterministic,defacement
billgrahamphotography.com/,benign,ai,benign
billgrahamphotography.com/,benign,deterministic,defacement
criticalcrushes.blogspot.com/2008_09_01_archive.html,benign,ai,benign
criticalcrushes.blogspot.com/2008_09_01_archive.html,benign,deterministic,defacement
www.ilulissathostel.dk/filer/apache/compass.htm,benign,ai,phishing
www.ilulissathostel.dk/filer/apache/compass.htm,benign,deterministic,defacement
myspace.com/asilvermtzion,benign,ai,benign
myspace.com/asilvermtzion,benign,deterministic,defacement
jload.info/2009/arashi-%e5%b5%90-all-the-best-1999-2009/,benign,ai,benign
jload.info/2009/arashi-%e5%b5%90-all-the-best-1999-2009/,benign,deterministic,defacement
hockeydb.com/ihdb/stats/pdisplay.php?pid=50619,benign,ai,benign
hockeydb.com/ihdb/stats/pdisplay.php?pid=50619,benign,deterministic,defacement
facebook.com/roger.graham,benign,ai,benign
facebook.com/roger.graham,benign,deterministic,defacement
mdn.missouri.edu/2011/stories/news00.htm,benign,ai,benign
mdn.missouri.edu/2011/stories/news00.htm,benign,deterministic,defacement
marywood.edu/news/fyi-rss.html,benign,ai,benign
marywood.edu/news/fyi-rss.html,benign,deterministic,defacement
https://medium.com/the-cto-series/an-interview-with-cindy-jeffers-ceo-and-cto-of-salon-media-group-ba438d7d9251,benign,ai,benign
https://medium.com/the-cto-series/an-interview-with-cindy-jeffers-ceo-and-cto-of-salon-media-group-ba438d7d9251,benign,deterministic,benign
en.wikipedia.org/wiki/Serge_Marcil,benign,ai,benign
en.wikipedia.org/wiki/Serge_Marcil,benign,deterministic,defacement
nhl.com/ice/news.htm?id=409849,benign,ai,benign
nhl.com/ice/news.htm?id=409849,benign,deterministic,defacement
amazon.com/Love-You-Man-Theodore-Shapiro/dp/B001RG79P0,benign,ai,benign
amazon.com/Love-You-Man-Theodore-Shapiro/dp/B001RG79P0,benign,deterministic,defacement
myspace.com/xsexykarax,benign,ai,benign
myspace.com/xsexykarax,benign,deterministic,defacement
steamcommunitylog.chez.com/,benign,ai,benign
steamcommunitylog.chez.com/,benign,deterministic,defacement
wifelyperson.blogspot.com/,benign,ai,benign
wifelyperson.blogspot.com/,benign,deterministic,defacement
disney.in/DisneyChannel/,benign,ai,benign
disney.in/DisneyChannel/,benign,deterministic,defacement
in.com/music/artist/anusha-mani-47461-1.html,benign,ai,benign
in.com/music/artist/anusha-mani-47461-1.html,benign,deterministic,defacement
hiphop-n-more.com/2010/11/nicki-minaj-pink-friday-promo-pics/,benign,ai,benign
hiphop-n-more.com/2010/11/nicki-minaj-pink-friday-promo-pics/,benign,deterministic,defacement
facebook.com/robert.ouellet,benign,ai,benign
facebook.com/robert.ouellet,benign,deterministic,defacement
mediacy.com/index.aspx?page=SS_Merritt,benign,ai,benign
mediacy.com/index.aspx?page=SS_Merritt,benign,deterministic,defacement
1911encyclopedia.org/The_United_States,benign,ai,benign
1911encyclopedia.org/The_United_States,benign,deterministic,defacement
we3d.net/ethan-hawke-welcomes-his-fourth-child/,benign,ai,benign
we3d.net/ethan-hawke-welcomes-his-fourth-child/,benign,deterministic,defacement
englishbullpup.com/,benign,ai,benign
englishbullpup.com/,benign,deterministic,defacement
speakingtagalog.com/articles/how-to-learn-tagalog,benign,ai,benign
speakingtagalog.com/articles/how-to-learn-tagalog,benign,deterministic,defacement
youtube.com/watch?v=84qK01JgzTU,benign,ai,benign
youtube.com/watch?v=84qK01JgzTU,benign,deterministic,defacement
finance.yahoo.com/news/Lionsgate-and-Amc-Theatres-prnews-2634076742.html,benign,ai,benign
finance.yahoo.com/news/Lionsgate-and-Amc-Theatres-prnews-2634076742.html,benign,deterministic,defacement
play.lifegoesstrong.com/what-watch-tv-week-ringer-harrys-law-whitney,benign,ai,benign
play.lifegoesstrong.com/what-watch-tv-week-ringer-harrys-law-whitney,benign,deterministic,defacement
mediajuicejoint.com/2011/09/vesta-williams-passed-hotel-room/,benign,ai,benign
mediajuicejoint.com/2011/09/vesta-williams-passed-hotel-room/,benign,deterministic,defacement
absoluteastronomy.com/topics/CONCACAF_Champions_League,benign,ai,benign
absoluteastronomy.com/topics/CONCACAF_Champions_League,benign,deterministic,defacement
resortvacationstogo.com/Hotel/Marriott_Montreal_Chateau_Champlain.html,benign,ai,benign
resortvacationstogo.com/Hotel/Marriott_Montreal_Chateau_Champlain.html,benign,deterministic,defacement
http://thenextweb.com/socialmedia/2011/05/19/10-early-adopter-brands-using-instagram/gtm.start,benign,ai,benign
http://thenextweb.com/socialmedia/2011/05/19/10-early-adopter-brands-using-instagram/gtm.start,benign,deterministic,benign
wiserearth.org/organization/view/83e0e0a997d184a5f1b810b07c643f8e,benign,ai,benign
wiserearth.org/organization/view/83e0e0a997d184a5f1b810b07c643f8e,benign,deterministic,defacement
mls-rumors.net/8411/2010/05/stadiumexpansion-saputo-stadium-upgrades-for-mls-2012,benign,ai,benign
mls-rumors.net/8411/2010/05/stadiumexpansion-saputo-stadium-upgrades-for-mls-2012,benign,deterministic,defacement
hfboards.com/showthread.php?t=506057&page=5,benign,ai,benign
hfboards.com/showthread.php?t=506057&page=5,benign,deterministic,defacement
2009calendar.ca/february-2009-calendar.htm,benign,ai,benign
2009calendar.ca/february-2009-calendar.htm,benign,deterministic,defacement
facebook.com/tamara.wilcox,benign,ai,benign
facebook.com/tamara.wilcox,benign,deterministic,defacement
apardee.com/,benign,ai,benign
apardee.com/,benign,deterministic,defacement
viv.giyonprojectors.com/use/Fred/form1.html,benign,ai,benign
viv.giyonprojectors.com/use/Fred/form1.html,benign,deterministic,defacement
forums.crackberry.com/playbook-apps-games-f243/tou-tv-app-coming-614785/,benign,ai,benign
forums.crackberry.com/playbook-apps-games-f243/tou-tv-app-coming-614785/,benign,deterministic,defacement
linkedin.com/in/joshschellenberg,benign,ai,benign
linkedin.com/in/joshschellenberg,benign,deterministic,defacement
youtube.com/watch?v=vGNM5-Kg02M,benign,ai,benign
youtube.com/watch?v=vGNM5-Kg02M,benign,deterministic,defacement
justgiving.com/worldrecordrow/,benign,ai,benign
justgiving.com/worldrecordrow/,benign,deterministic,defacement
sangeetdhwani.net/searchresult?search=A%20typical%20landscape%20of%20Assam,benign,ai,benign
sangeetdhwani.net/searchresult?search=A%20typical%20landscape%20of%20Assam,benign,deterministic,defacement
bleacherreport.com/articles/544967-baltimore-ravens-roster-changes-needed-after-2010,benign,ai,benign
bleacherreport.com/articles/544967-baltimore-ravens-roster-changes-needed-after-2010,benign,deterministic,defacement
fijipower.com/,benign,ai,benign
fijipower.com/,benign,deterministic,defacement
manta.com/c/mmy5zvx/dorsey-homes,benign,ai,benign
manta.com/c/mmy5zvx/dorsey-homes,benign,deterministic,defacement
freebase.com/view/base/jewishcommunities/jewish_cemetery,benign,ai,benign
freebase.com/view/base/jewishcommunities/jewish_cemetery,benign,deterministic,defacement
mp3bear.com/?q=rescue,benign,ai,benign
mp3bear.com/?q=rescue,benign,deterministic,defacement
bit.ly/L97M4s?=891382,benign,ai,benign
bit.ly/L97M4s?=891382,benign,deterministic,defacement
imdb.com/name/nm0920164/,benign,ai,benign
imdb.com/name/nm0920164/,benign,deterministic,defacement
ib2-bradeesco.comuf.com/,benign,ai,benign
ib2-bradeesco.comuf.com/,benign,deterministic,defacement
maplandia.com/canada/quebec/communaute-urbaine-de-montreal/saint-michel/,benign,ai,benign
maplandia.com/canada/quebec/communaute-urbaine-de-montreal/saint-michel/,benign,deterministic,defacement
bgmysteries.com/,benign,ai,benign
bgmysteries.com/,benign,deterministic,defacement
simplifyrobotics.com/,benign,ai,benign
simplifyrobotics.com/,benign,deterministic,defacement
tunein.com/radio/Radio-Canal-Bleu-943-s111615/,benign,ai,benign
tunein.com/radio/Radio-Canal-Bleu-943-s111615/,benign,deterministic,defacement
https://medium.com/backchannel/facebook-published-a-big-new-study-on-the-filter-bubble-here-s-what-it-says-ef31a292da95,benign,ai,benign
https://medium.com/backchannel/facebook-published-a-big-new-study-on-the-filter-bubble-here-s-what-it-says-ef31a292da95,benign,deterministic,benign
http://elcomercio.pe/mundo/latinoamerica/mexico-vilo-alondra-noticia-1810987?ref=portada_home&ft=destacada,benign,ai,malware
http://elcomercio.pe/mundo/latinoamerica/mexico-vilo-alondra-noticia-1810987?ref=portada_home&ft=destacada,benign,deterministic,defacement
www.krupuchoy.com/paypal.html,benign,ai,benign
www.krupuchoy.com/paypal.html,benign,deterministic,defacement
ordwaypto.org/about/,benign,ai,benign
ordwaypto.org/about/,benign,deterministic,defacement
answers.com/topic/bank-of-america-corporation,benign,ai,benign
answers.com/topic/bank-of-america-corporation,benign,deterministic,defacement
aidsrightscongo.org/?tag=reseau-sida-afrique,benign,ai,benign
aidsrightscongo.org/?tag=reseau-sida-afrique,benign,deterministic,defacement
www.bancadenoticias.com/~mpseu/l/,benign,ai,phishing
www.bancadenoticias.com/~mpseu/l/,benign,deterministic,defacement
sustainablebusinessdesign.blogspot.com/2010/02/iclei-launches-sustainability-planning.html,benign,ai,benign
sustainablebusinessdesign.blogspot.com/2010/02/iclei-launches-sustainability-planning.html,benign,deterministic,defacement
bradleynphc.com/,benign,ai,benign
bradleynphc.com/,benign,deterministic,defacement
